q1,q2,q3,q4,q5,q6,q7,q8,q16
3,2,1,1,D,1.68,85.28,5,1
3,2,1,2,E,1.88,64.41,5,1
3,1,1,2,B,1.57,45.81,5,1
4,2,1,2,B  E,1.65,47.63,5,1
3,2,1,2,B,1.75,58.97,5,1
3,2,1,2,B,1.73,73.94,5,1
3,2,1,2,E,,,5,1
3,1,1,2,B,1.57,49.9,5,1
3,2,1,2,B,1.65,46.72,5,1
3,1,1,2,B,1.6,48.54,5,1
4,1,1,1,B,1.57,52.62,5,1
3,1,1,2,B,1.55,42.18,4,1
3,2,1,2,C E,1.68,56.7,5,1
4,2,1,2,E,1.78,62.14,5,2
3,2,1,2,E,1.78,59.88,5,2
3,1,1,2,B  E,1.68,47.63,4,1
3,2,1,1,E,1.68,55.79,4,1
4,2,1,2,E,1.78,81.65,4,1
3,1,1,2,E,,,5,1
4,1,2,2,E,1.55,77.11,4,1
5,2,2,2,E,1.73,82.1,5,1
5,2,2,2,E,1.8,65.77,5,1
5,1,2,2,E,1.6,48.99,5,1
4,2,2,2,E,1.88,74.84,4,1
4,1,2,1,E,1.65,54.89,5,1
4,2,2,2,E,1.78,108.86,5,1
4,2,2,2,E,,,,1
5,1,2,2,E,1.57,68.49,4,1
5,2,2,2,E,1.93,95.26,4,3
4,2,2,1,A,1.73,58.06,5,1
5,2,2,2,E,1.75,66.68,5,1
4,2,2,2,E,1.73,70.31,3,1
5,1,2,2,E,1.6,65.77,3,1
4,2,2,2,E,1.73,58.97,5,1
4,2,2,2,E,1.78,89.81,5,1
4,1,2,2,B,1.6,54.43,4,1
4,1,2,2,C E,1.75,65.32,5,1
4,1,2,2,E,1.52,46.27,5,1
4,2,2,2,E,1.68,59.42,4,1
3,1,1,2,E,,,4,1
3,2,1,2,E,1.7,61.24,5,1
3,1,1,2,E,1.55,53.52,5,1
2,2,1,2,E,1.78,53.52,4,1
3,2,1,2,E,1.68,61.24,5,2
3,2,1,2,E,1.75,68.49,5,2
4,1,1,2,D,,,4,1
4,1,1,2,E,1.68,72.58,3,1
3,2,1,2,E,1.68,56.7,5,1
3,2,1,2,E,,,5,1
4,2,1,2,E,1.78,63.05,5,1
4,2,1,2,E,1.78,72.58,4,1
4,2,1,2,E,1.68,59.88,5,3
4,1,2,1,E,1.63,45.81,2,1
3,2,1,2,E,1.78,91.63,3,1
4,1,1,1,A,,,5,1
4,1,1,2,A   E,1.45,54.43,4,1
3,2,1,2,E,1.57,50.8,5,2
3,2,1,2,E,1.78,99.79,4,1
3,1,1,2,E,,,5,1
4,2,1,2,E,1.6,53.52,5,3
3,1,1,1,C E,1.63,65.77,5,1
6,2,4,2,E,1.7,58.97,5,3
6,1,4,2,E,1.73,65.77,5,1
6,2,4,2,E,1.7,65.77,3,2
5,2,3,2,E,1.9,86.18,5,1
6,1,4,2,E,1.73,65.77,4,1
7,2,4,2,E,1.8,68.04,4,1
7,2,4,2,E,1.8,76.2,5,1
7,2,4,2,E,1.83,99.79,4,2
6,1,4,2,E,1.73,70.31,4,1
6,1,4,2,E,1.55,41.73,4,1
6,1,4,1,E,1.75,74.84,5,1
7,2,4,2,E,1.8,68.04,5,1
5,2,3,2,E,1.83,70.31,4,1
5,1,3,2,E,1.55,51.26,3,1
6,2,3,2,E,,,5,1
5,2,3,2,C,1.8,58.06,5,3
6,2,3,2,E,1.6,77.11,5,1
7,2,3,2,E,1.7,106.6,4,1
6,2,3,2,E,1.78,68.04,5,1
5,2,3,2,A,1.63,70.31,5,1
6,2,3,2,E,1.88,94.35,,1
5,1,3,2,E,1.63,65.77,5,1
5,1,3,2,E,1.65,43.09,5,1
5,1,3,2,E,1.6,45.36,5,1
5,1,3,2,E,1.65,56.7,5,1
5,,3,2,E,,,5,1
5,1,3,1,C,1.57,90.72,3,5
6,2,3,1,E,1.75,70.31,2,1
6,2,3,2,E,1.75,72.58,5,1
6,2,3,2,E,1.9,70.31,5,1
5,2,3,2,E,1.8,73.48,5,1
6,2,3,2,E,1.93,104.33,5,1
6,1,4,2,E,1.73,81.65,2,1
6,1,3,2,E,1.57,75.3,5,1
5,1,3,2,A,1.68,73.48,2,1
5,1,3,2,DE,1.65,53.52,5,1
6,1,4,2,E,1.6,86.18,5,1
6,2,4,2,A,1.73,104.33,5,1
7,1,4,2,E,1.63,65.77,4,1
7,2,4,2,C,1.75,72.58,5,1
6,2,4,1,,1.7,77.11,4,2
6,1,4,2,E,,,3,1
6,1,4,2,E,1.73,117.94,5,1
6,2,4,2,E,1.73,49.9,5,1
6,2,4,2,E,1.8,79.38,5,1
7,2,4,1,B,1.7,54.43,5,1
6,2,4,2,A,1.68,64.86,5,1
7,2,4,2,E,1.78,120.2,5,1
7,2,4,2,E,1.78,77.11,5,1
4,1,1,2,A   E,,,,2
3,2,1,2,C E,1.78,70.31,5,2
3,1,1,2,E,1.6,64.86,4,2
4,2,2,2,C,,,4,2
3,1,1,2,E,1.65,54.43,5,1
3,2,1,1,B DE,1.83,77.57,5,1
3,2,1,2,E,1.8,66.68,3,2
3,2,1,2,E,1.78,74.84,3,1
3,1,1,2,E,,,4,1
4,2,1,1,E,1.83,77.11,4,2
4,1,2,2,E,1.7,49.9,5,1
5,1,2,2,E,1.68,77.11,5,1
4,1,2,2,E,1.65,52.16,5,1
4,2,2,2,E,1.73,56.7,5,1
4,2,2,2,E,1.73,67.59,5,1
4,2,2,2,E,1.75,62.6,4,1
4,1,2,2,E,1.57,49.44,5,1
4,1,2,2,E,1.6,55.79,5,1
5,1,2,2,E,1.68,56.7,5,1
4,2,2,2,E,1.8,68.49,5,1
4,2,2,2,E,1.85,77.11,5,1
5,1,2,2,E,,,4,1
5,2,2,2,E,1.68,58.97,5,3
3,2,1,2,A   E,1.68,54.43,5,1
5,2,2,2,E,1.65,55.34,5,3
5,2,2,2,E,,,5,1
4,1,2,2,E,1.63,62.14,4,1
7,2,3,2,E,1.6,71.22,5,1
5,2,3,2,E,1.83,45.36,1,2
6,2,3,2,E,1.78,58.97,5,1
5,2,2,2,E,1.75,71.67,3,3
5,2,3,2,E,1.96,80.74,4,1
6,1,3,2,E,1.73,61.24,5,2
6,1,3,2,E,1.63,62.14,4,1
5,2,3,2,B  E,1.75,78.47,5,1
6,2,3,2,E,1.83,72.58,5,1
6,1,3,2,E,1.7,91.63,5,1
5,2,3,2,E,1.8,107.96,5,1
5,1,3,2,E,1.63,68.95,2,1
6,2,3,2,E,,,3,3
5,1,3,2,E,1.6,49.9,4,1
6,1,3,2,E,1.6,61.24,5,1
5,1,3,2,E,1.73,56.7,4,1
5,2,3,2,E,1.75,53.52,5,1
5,2,3,2,B  E,1.68,56.7,5,1
7,2,3,2,E,1.75,63.5,4,1
6,2,3,1,A,1.83,70.76,5,1
6,2,3,2,E,1.93,90.72,1,2
5,2,3,2,E,1.88,76.66,3,1
5,2,3,2,E,1.7,60.33,5,8
6,2,4,1,E,,,5,1
6,2,4,2,E,1.88,86.18,4,1
6,2,4,2,E,1.9,88.45,3,1
6,2,4,2,E,1.8,79.38,2,1
7,2,4,2,E,1.9,80.29,1,3
6,2,4,2,E,1.85,71.22,2,1
7,1,4,2,E,1.68,65.77,5,1
7,1,4,2,E,1.63,48.99,5,1
7,1,4,2,E,1.63,53.98,4,1
6,1,4,2,E,1.6,48.08,5,1
7,1,4,2,E,1.57,54.43,5,1
4,,2,2,E,,,5,1
5,1,2,2,E,1.52,43.55,4,2
4,1,2,2,E,1.6,84.37,5,1
4,1,2,2,E,1.65,65.77,5,1
4,2,2,2,E,1.83,62.6,5,1
4,2,2,2,E,1.8,92.99,4,1
4,2,2,2,E,1.88,66.68,5,1
5,2,2,2,A,1.78,99.79,3,3
4,1,2,2,E,1.7,68.04,4,1
6,2,3,2,E,1.68,56.7,5,1
5,1,3,2,E,1.63,52.16,2,1
6,2,3,2,E,1.73,78.02,4,1
5,2,3,2,E,1.78,90.72,5,1
6,2,3,2,E,1.75,74.84,1,1
6,1,3,2,E,1.63,62.14,5,1
5,1,3,2,E,1.65,60.78,3,1
6,1,3,2,A   E,1.68,52.16,5,1
6,1,4,2,A   E,1.68,58.97,2,1
6,1,4,2,E,1.65,81.65,5,3
6,2,4,2,E,1.85,72.58,5,1
7,2,4,2,E,1.73,88.45,,1
1,1,1,1,A,1.63,84.82,1,5
6,1,4,2,E,1.55,54.43,5,1
7,1,4,2,E,1.7,83.46,5,1
6,1,4,2,E,1.68,63.5,5,1
7,1,4,2,E,1.63,70.31,3,1
7,1,4,2,E,1.8,58.97,5,1
6,1,4,2,E,1.85,83.92,5,1
6,1,4,2,E,1.65,58.97,4,1
6,1,4,2,E,1.65,56.25,5,1
7,1,4,2,E,1.68,58.97,5,1
6,1,4,2,E,1.65,57.61,5,1
6,1,4,2,E,1.63,72.58,5,1
6,2,4,2,E,1.83,95.26,2,1
6,2,4,2,E,1.75,71.67,5,1
7,2,4,2,E,1.75,96.62,2,4
4,1,2,2,E,1.55,45.36,5,1
4,1,2,2,E,1.65,58.97,4,1
4,1,2,2,E,1.73,88.91,5,1
5,2,2,2,E,1.88,77.11,4,3
5,2,2,2,E,1.73,59.88,5,1
4,2,2,2,E,1.8,64.86,3,5
5,2,2,2,A   E,1.78,58.97,4,1
5,2,2,2,E,1.73,77.11,5,1
4,2,2,2,E,1.88,79.38,4,1
4,2,2,2,E,1.85,79.38,4,1
4,2,2,2,E,1.6,53.07,5,1
4,2,2,2,E,1.73,129.28,4,1
5,2,2,1,E,1.68,56.7,5,1
5,1,2,2,E,1.65,61.24,5,1
3,2,1,2,E,1.7,56.25,4,1
3,1,1,2,E,1.7,61.24,5,1
4,1,1,2,E,1.63,54.43,5,1
3,1,1,2,E,1.63,57.61,4,1
3,1,1,2,E,1.63,59.88,5,1
4,1,1,2,E,1.73,74.39,2,3
3,2,1,2,E,1.88,75.3,5,1
3,2,1,2,B  E,1.63,51.26,4,1
3,1,1,2,E,1.7,111.59,5,3
4,1,1,2,A,1.65,50.8,5,2
4,1,1,2,C E,1.7,53.52,5,1
4,1,2,2,E,1.57,72.58,3,1
3,2,1,2,E,1.68,56.7,4,1
4,2,1,2,E,1.73,59.42,4,2
4,2,1,2,E,1.7,53.52,5,2
3,2,1,2,E,1.73,55.79,5,1
4,2,1,2,E,1.78,74.84,5,1
4,2,1,2,E,1.83,83.92,5,1
3,2,1,2,E,1.73,65.77,5,1
3,2,1,2,E,1.7,79.38,4,1
4,2,1,2,E,1.83,66.23,4,1
3,2,1,2,C,1.8,72.58,4,5
4,1,1,1,E,1.55,50.35,5,1
3,1,1,2,E,1.68,55.79,4,1
4,1,1,2,E,1.55,52.62,3,2
7,2,4,2,E,1.83,61.24,5,1
6,2,4,2,E,1.85,72.58,5,2
6,2,4,2,A,,,4,1
6,2,4,2,E,1.78,124.74,2,1
6,2,4,2,E,1.78,69.85,2,2
7,2,4,2,E,1.7,62.6,3,3
7,2,4,2,E,1.75,58.97,4,1
7,2,4,2,E,1.75,77.11,2,1
6,2,4,2,E,1.73,86.18,3,2
6,2,4,2,E,1.7,51.71,5,1
6,1,4,2,E,1.73,54.43,5,1
6,2,4,2,E,1.9,106.14,5,2
6,2,4,2,E,1.93,86.18,5,1
6,1,4,2,E,1.52,45.36,5,1
7,1,4,2,A   E,1.6,50.8,3,1
7,1,4,2,E,1.63,63.5,3,1
6,1,4,2,E,1.57,79.38,4,1
6,2,4,2,E,1.8,74.84,5,1
6,1,4,1,E,1.68,90.72,5,1
6,2,4,2,E,1.8,88.45,5,1
7,2,4,2,E,1.83,88.45,4,3
6,2,4,2,E,1.75,77.11,5,1
7,1,4,2,E,1.65,58.97,4,1
6,1,4,1,E,1.55,46.72,5,1
5,1,4,2,E,1.75,62.14,5,1
7,1,4,2,E,1.75,63.5,5,1
7,1,4,2,E,1.7,58.97,4,1
6,1,4,2,E,1.63,57.61,5,1
7,1,4,2,E,,,4,3
5,1,3,1,,,,5,1
7,1,3,2,E,,,3,1
5,1,3,1,E,1.52,49.9,4,1
5,2,3,2,A,1.75,79.38,2,1
5,1,3,2,E,1.68,74.39,4,1
5,1,3,2,E,1.5,56.7,5,2
5,1,3,2,E,,,4,1
6,2,3,2,C,1.8,67.13,4,3
5,2,3,2,E,1.63,54.43,5,1
5,2,3,1,E,1.8,72.58,1,1
5,1,3,2,E,1.68,61.24,1,1
5,2,3,2,E,1.7,68.95,4,1
5,1,3,2,E,1.65,54.43,4,2
6,2,4,2,E,,,5,1
6,2,4,2,E,1.8,101.61,5,1
6,1,4,1,E,1.68,56.7,4,1
6,1,4,2,C,1.83,60.33,5,1
7,2,4,2,E,1.88,72.58,5,1
7,2,4,2,E,1.68,72.58,1,3
6,1,4,2,E,1.6,46.27,5,1
6,1,4,2,E,1.65,54.43,2,1
7,1,4,2,A   E,1.63,68.95,4,1
6,1,3,2,B,1.5,59.88,5,1
5,1,3,2,E,1.65,50.8,5,1
5,1,3,2,E,,,5,1
5,2,3,2,C,1.73,90.72,2,5
6,1,3,2,E,1.65,66.68,3,1
6,2,3,2,E,1.78,83.01,3,1
7,2,3,2,E,1.7,81.65,3,2
5,2,3,2,E,1.73,63.5,3,1
5,2,3,2,E,1.78,44.45,5,1
3,1,1,2,C,,,,1
4,2,1,2,E,1.65,58.97,4,1
4,1,2,2,E,1.68,117.94,4,1
4,1,2,2,E,1.57,66.68,5,1
4,2,2,2,E,1.47,39.01,5,1
5,1,2,2,A   E,1.55,56.7,4,1
6,2,2,2,B,,,,1
5,2,2,2,E,1.83,64.86,4,1
4,2,2,2,E,1.85,78.93,5,1
4,2,2,1,,1.68,52.16,5,1
5,2,2,1,,1.73,58.97,5,1
5,2,2,2,,1.73,56.25,3,1
4,1,2,2,C E,1.55,58.06,3,1
4,1,3,1,E,,,4,8
5,2,2,2,E,1.78,70.31,2,1
4,2,2,1,,1.73,65.77,3,3
4,2,2,2,E,1.73,97.52,5,1
5,2,2,2,E,1.8,68.95,5,1
4,2,2,2,E,1.8,70.31,5,1
4,2,2,2,E,1.83,108.86,5,1
4,2,2,2,C,1.88,74.84,5,1
5,2,2,2,E,1.75,64.41,5,1
5,2,2,2,E,1.73,63.5,4,2
,2,3,1,E,,,3,1
6,1,3,2,E,1.5,45.81,5,1
6,1,3,2,E,,,5,1
6,2,3,2,E,1.73,99.79,3,5
7,2,3,1,E,1.75,160.12,4,3
5,2,3,2,E,1.8,81.65,5,1
5,1,3,2,E,1.65,58.97,5,2
5,2,3,2,E,1.85,86.18,5,1
6,1,3,2,E,1.7,55.79,3,3
6,1,3,1,C E,1.57,86.18,3,4
5,1,3,2,DE,,,3,1
4,2,2,2,A   E,1.73,76.2,4,1
4,2,2,2,E,1.68,61.24,5,1
4,1,2,2,E,1.68,63.5,4,1
5,1,2,2,E,1.63,99.79,5,1
4,2,2,2,E,1.8,70.31,4,1
5,1,2,2,C,1.63,74.39,4,1
5,2,2,2,E,1.73,56.7,4,3
5,2,2,2,E,,,1,1
6,2,4,2,E,1.65,56.25,5,1
4,2,2,2,E,1.85,124.74,5,3
4,2,2,2,C,1.75,100.7,3,1
4,1,2,2,E,1.6,43.09,4,1
5,1,2,2,E,1.7,90.72,3,1
4,1,2,,,1.7,81.65,3,1
5,1,2,2,E,1.65,54.43,4,1
4,1,2,2,E,1.6,56.7,4,1
4,2,2,2,E,1.7,72.58,5,1
4,2,2,1,ABCDE,1.78,57.15,4,1
4,1,2,2,E,1.78,83.92,5,2
6,1,2,2,E,1.75,69.4,5,8
5,1,3,2,B,,,5,1
5,2,3,2,E,1.75,81.65,3,1
6,2,3,2,E,1.9,99.79,4,1
6,2,3,2,C E,1.78,92.08,5,2
5,1,3,2,E,1.65,128.37,5,1
3,2,1,2,E,1.83,95.26,5,1
3,1,1,2,E,1.65,54.43,3,1
4,2,1,2,E,1.78,97.98,5,1
3,2,1,2,E,1.73,127.01,2,2
3,2,1,2,E,1.47,65.77,5,1
4,2,1,2,E,1.75,88.45,5,1
4,2,1,2,E,1.63,58.97,5,1
4,2,1,2,E,1.78,83.01,5,2
4,2,1,2,E,1.75,104.33,1,2
3,1,1,2,C,,,2,1
3,1,1,2,D,1.75,70.31,4,3
5,2,1,2,E,1.68,65.77,5,1
3,1,1,2,E,1.63,49.9,2,1
5,1,2,1,C,1.6,59.88,3,3
3,1,1,2,E,1.55,57.61,3,3
3,1,1,1,,1.63,65.77,4,1
3,2,1,2,E,1.78,63.5,5,1
3,2,1,2,E,1.7,78.02,2,1
3,1,1,2,E,1.68,65.77,5,1
3,1,1,2,E,1.65,63.5,4,1
4,1,1,2,E,1.5,40.82,5,1
4,2,1,1,E,1.8,63.5,5,1
3,1,1,2,E,1.57,68.49,4,1
2,1,1,2,C,1.73,68.95,5,1
3,1,1,2,C,1.65,54.89,5,1
3,1,1,1,A,1.57,49.44,4,1
3,1,1,,,1.55,53.52,5,1
3,1,1,2,E,1.68,56.7,5,1
4,2,1,2,E,1.68,68.04,5,1
3,2,1,2,E,1.83,73.48,4,1
3,2,1,2,E,,,5,1
4,2,1,,E,1.85,107.96,4,1
3,1,1,2,E,1.68,68.04,2,3
4,2,1,2,E,1.75,58.97,4,1
4,1,1,2,A   E,1.73,69.4,5,3
3,1,1,1,A  DE,1.52,40.82,5,1
3,1,1,2,E,1.6,49.9,5,1
3,2,1,2,E,1.83,102.97,5,5
4,1,1,2,E,1.65,63.5,3,1
3,1,1,2,E,,,5,1
4,1,1,2,E,1.57,59.88,5,
4,2,1,2,E,1.75,61.24,5,1
3,1,1,2,E,1.63,45.36,4,1
3,2,1,2,E,1.88,102.06,5,1
3,2,1,2,E,1.73,78.47,5,1
4,1,1,2,E,1.6,72.58,3,2
,,,,,,,,1
4,1,1,2,E,1.6,58.97,5,1
,,,,,,,,2
6,2,4,2,B,1.68,85.73,5,1
7,2,4,2,E,1.78,58.06,5,1
6,2,2,2,E,1.78,108.86,5,1
6,1,4,2,E,1.7,97.52,5,1
7,1,4,1,E,,,5,1
6,2,4,2,E,1.83,102.06,5,1
7,2,4,2,A   E,1.75,79.83,4,1
4,2,2,2,A   E,1.83,57.15,3,1
4,1,2,2,C,1.75,68.04,4,1
6,2,3,2,C,1.83,65.77,5,1
5,1,3,1,,1.68,72.58,4,1
5,2,3,2,E,1.8,65.77,5,1
4,2,2,2,E,1.78,52.16,5,1
5,1,2,2,E,1.75,68.04,5,1
4,2,2,2,E,1.73,65.77,3,1
4,2,2,2,E,1.73,57.15,5,1
5,2,2,1,E,1.85,113.4,5,1
4,2,2,2,E,1.88,53.52,5,1
4,2,2,1,E,1.63,56.25,5,1
5,2,2,2,E,1.8,121.11,5,1
4,2,2,2,C,1.7,71.67,5,1
4,2,2,,E,1.83,137.44,5,1
4,1,2,2,E,1.68,72.12,5,1
4,1,2,2,C,,,3,1
4,2,2,2,C,1.73,90.72,5,1
4,1,2,2,B,1.63,48.99,5,1
6,1,3,2,C,1.73,70.31,5,1
5,1,3,2,B,1.55,43.09,4,1
5,1,3,2,E,,,5,1
5,1,3,1,E,1.63,47.63,5,1
5,1,3,2,E,1.63,65.77,4,1
5,1,3,2,E,1.65,86.18,5,1
5,1,3,2,E,1.65,53.52,5,1
5,1,3,2,E,1.65,65.77,4,1
6,1,3,2,E,1.6,68.04,5,1
5,2,3,2,E,1.7,73.94,5,1
5,1,3,2,E,1.63,63.5,5,1
5,1,3,2,C,1.63,52.16,4,1
5,1,3,2,C,1.65,53.07,4,1
6,1,3,2,C,1.6,53.07,4,1
5,1,3,2,B,1.63,52.16,5,1
5,1,3,2,C E,1.7,53.52,5,1
6,1,3,1,E,1.57,47.63,5,1
7,2,4,2,E,1.68,69.4,5,1
7,2,4,2,E,1.75,117.94,5,1
6,1,4,2,E,1.55,77.11,3,1
7,1,4,2,E,1.7,77.11,5,1
6,1,4,2,E,1.57,56.7,5,1
6,1,4,2,C,1.73,61.24,5,1
7,1,4,2,B  E,1.5,46.72,5,1
7,1,4,2,E,1.63,78.02,5,1
6,1,4,1,E,1.63,58.97,3,1
6,1,4,2,E,1.7,74.84,5,1
6,2,4,2,E,1.7,61.24,4,1
6,1,4,2,E,1.55,61.24,5,1
6,1,4,2,C E,1.73,77.11,5,1
6,1,4,2,E,1.68,61.24,5,1
7,2,4,2,B  E,1.88,129.28,5,1
6,1,4,2,E,1.65,89.81,4,1
4,1,1,1,D,1.65,72.58,5,1
3,1,1,1,D,1.6,58.97,5,1
4,2,1,2,C E,1.7,59.42,4,1
3,2,1,2,E,1.6,95.26,5,1
3,2,1,2,C,1.68,61.24,3,2
3,1,1,2,E,1.7,49.9,4,1
3,2,1,2,E,1.68,49.9,5,1
3,1,1,2,E,1.7,44.45,5,1
3,2,1,2,E,1.7,61.24,5,1
3,2,1,2,B,1.65,53.07,3,1
3,2,1,2,E,1.78,68.04,4,1
3,1,1,2,C,1.57,61.69,5,1
3,1,1,2,C,,,5,1
4,2,2,2,E,1.73,73.48,5,1
4,1,2,2,B,,,5,1
5,1,2,2,E,1.5,45.36,5,1
4,1,2,2,E,1.68,53.07,,1
4,1,2,2,E,1.63,58.06,4,1
4,1,2,2,C,1.65,83.46,5,1
4,1,2,2,E,,,5,1
4,1,2,2,E,1.65,51.26,5,1
4,1,2,2,E,1.52,44.45,5,1
5,1,2,2,E,,,4,1
3,1,1,1,C,1.55,39.92,5,1
3,1,1,2,C E,1.63,52.16,5,1
3,1,1,2,C,1.55,47.63,5,1
4,2,1,2,E,1.88,72.12,5,1
3,2,1,2,E,1.8,73.48,4,1
3,1,1,2,E,1.6,53.52,4,1
3,2,1,2,E,1.68,58.97,4,1
3,1,1,2,E,1.65,54.43,4,1
3,1,1,2,E,1.57,45.36,5,1
3,1,1,2,E,1.63,56.25,5,1
3,1,1,2,E,1.57,45.36,5,1
3,1,1,2,E,1.68,56.25,5,1
3,2,1,2,E,1.78,63.96,4,3
3,1,1,2,E,1.7,49.44,5,1
3,1,1,2,E,1.7,59.42,5,1
3,2,1,2,B  E,1.7,89.81,4,1
3,,1,2,C,,,5,1
3,1,1,2,E,,,5,1
3,1,1,2,E,1.65,71.22,4,1
6,2,3,2,E,1.73,88.91,1,4
5,2,3,2,E,1.63,72.58,3,1
5,1,3,2,C,1.47,40.82,5,1
5,2,3,2,E,1.65,49.9,4,1
6,2,3,2,E,1.7,58.97,5,1
5,2,3,2,E,1.7,57.15,5,1
6,2,3,2,E,1.93,104.33,5,4
6,1,4,2,C,1.65,59.88,4,1
6,2,4,2,E,1.83,77.11,5,1
7,2,4,2,E,1.73,72.58,5,1
6,1,4,2,E,1.7,78.47,5,1
6,1,4,2,E,1.63,61.24,3,1
6,1,4,2,E,1.73,69.4,4,1
6,2,4,2,B,1.63,56.7,4,1
4,1,2,2,B,1.45,44.45,5,1
4,1,2,2,B,1.63,58.06,4,1
4,1,2,1,E,1.63,52.16,5,1
4,2,2,1,E,1.55,48.99,5,1
5,2,2,1,E,1.73,67.13,5,1
4,1,2,2,E,1.57,55.79,5,1
4,2,2,1,E,1.73,65.32,4,1
4,1,2,2,B,1.63,47.63,5,1
4,1,2,2,B,1.65,74.84,3,1
4,1,2,2,BC,1.6,50.8,5,1
4,1,2,2,B,1.73,58.06,4,1
4,2,2,2,E,1.9,84.82,4,2
3,1,2,2,B,1.52,45.36,5,1
4,1,2,1,,1.6,58.97,3,1
4,1,2,2,E,,,4,1
4,2,2,1,,1.78,92.53,5,1
3,1,2,1,E,1.57,58.06,5,1
4,1,2,2,E,1.57,60.78,5,1
3,2,1,2,C,1.73,61.24,3,2
3,2,1,2,BC,1.75,56.7,4,4
3,2,1,2,E,1.7,61.24,4,1
3,2,1,2,B DE,1.57,35.38,5,1
4,1,1,1,,1.5,51.26,3,1
3,2,1,2,E,1.85,86.64,5,1
3,1,1,2,C,1.68,51.26,5,1
3,2,1,2,E,1.68,61.24,5,1
3,1,1,2,B,1.6,44.45,4,1
3,1,1,2,E,,,5,1
3,2,1,,,1.68,55.34,4,1
3,1,1,2,E,1.65,49.44,5,1
3,2,1,2,E,1.78,64.41,2,2
3,2,1,1,E,,,5,1
3,1,1,1,,,,4,1
2,,1,2,E,,,5,1
3,1,1,1,,1.52,46.72,5,1
3,2,1,2,E,1.83,70.31,4,1
3,2,1,2,B,,,4,1
3,1,1,2,E,,,4,1
2,2,1,2,B,1.73,49.9,5,1
2,1,1,1,A,1.55,49.9,,1
3,1,1,2,E,1.7,57.15,5,2
4,2,1,2,E,1.85,104.78,5,1
3,2,1,1,,1.75,77.11,5,1
6,1,4,2,E,1.75,56.25,5,1
5,1,3,1,E,1.55,68.04,5,1
6,2,4,1,,1.68,69.4,5,1
6,2,4,1,,1.63,58.97,3,2
6,1,4,1,,1.63,84.37,4,1
6,1,4,1,C,1.65,62.14,2,1
6,1,4,1,,1.57,54.43,,2
6,2,4,1,D,1.68,56.7,5,1
6,1,4,1,E,1.57,64.41,5,1
6,1,4,2,B,1.52,51.71,5,1
6,1,4,1,A,1.5,61.24,4,1
6,2,4,2,E,1.75,58.97,4,1
6,1,4,1,C,1.7,68.95,5,1
6,1,4,2,E,1.7,79.38,5,1
6,1,4,1,B,1.6,58.06,5,1
6,2,4,2,E,,,5,1
6,2,4,2,E,1.88,71.22,5,1
6,1,4,2,E,1.65,63.5,3,1
6,1,4,1,E,1.65,68.04,5,1
5,2,3,2,E,1.73,85.73,5,1
5,2,3,2,E,1.73,63.5,4,2
5,2,3,2,E,1.68,60.78,5,1
5,1,3,1,E,1.47,56.7,5,1
6,1,3,2,B,1.55,50.35,4,1
5,1,3,2,E,1.8,68.04,5,1
4,1,3,1,E,1.6,57.61,4,2
5,1,3,2,E,1.6,47.63,5,1
6,2,3,1,E,1.7,65.77,5,1
6,1,3,2,B,1.65,72.58,4,1
5,1,3,2,C,1.65,67.59,4,1
5,1,3,2,E,1.63,68.04,5,1
5,1,3,2,E,1.83,72.58,5,2
5,1,3,2,E,1.75,86.18,4,1
5,1,3,1,C,,,,1
5,1,3,2,B,1.73,61.24,4,1
5,1,3,2,E,1.6,54.43,3,2
5,2,3,2,E,1.7,52.16,5,1
5,2,3,2,B  E,1.83,70.31,5,1
5,2,3,1,E,1.73,63.5,3,1
5,2,3,2,B,1.8,63.96,4,3
5,2,3,2,E,1.78,58.97,2,4
5,2,3,2,E,1.73,64.86,5,1
4,2,3,2,B,1.83,54.43,5,1
6,2,4,2,C,1.85,78.02,4,1
6,1,3,2,B,,,4,1
6,1,4,2,E,1.63,63.5,5,1
6,1,4,2,E,1.7,50.8,5,1
6,1,4,2,E,1.75,72.58,5,1
5,2,3,2,B,1.7,43.55,3,1
5,2,3,2,E,1.73,54.43,5,1
5,2,3,2,C,1.78,55.34,5,2
5,1,3,2,C,1.63,68.04,5,1
1,2,5,2,ABCDE,,,1,8
5,1,3,2,C,1.65,56.7,4,1
5,2,3,1,E,1.73,72.12,5,1
5,1,3,1,A,1.57,61.24,4,2
5,1,3,2,C,1.7,81.65,4,1
5,2,3,2,B,1.7,67.59,4,1
5,2,3,2,B,1.57,44.91,4,1
5,1,3,2,B,1.57,53.52,4,1
5,1,3,2,C,1.57,58.97,4,1
5,1,3,2,A C E,,,4,1
5,1,3,2,B,1.55,81.65,1,1
6,1,4,2,B,1.63,49.9,5,1
6,2,4,2,B,1.73,63.5,5,1
6,1,4,1,E,1.63,81.65,3,1
6,2,4,2,C,1.65,54.43,4,1
6,1,4,1,E,,,4,1
6,1,4,2,C,1.68,90.72,5,1
6,1,4,1,C,1.65,62.6,4,1
6,1,4,2,C,1.55,47.63,4,1
6,1,4,2,C,1.63,77.11,5,1
6,2,4,2,C,1.83,81.65,4,1
3,2,1,1,,,,3,1
3,1,1,1,,1.55,51.26,3,1
6,1,4,1,E,1.52,56.7,4,1
6,1,4,1,E,,,5,1
5,2,4,2,C,1.7,52.16,5,1
6,1,4,2,C,1.65,74.84,5,1
