q1,q2,q3,q4,q5,q6,q7,q8,q16
6,2,4,1,,1.88,104.33,5,1
6,2,4,2,B  E,1.73,61.24,5,1
6,2,4,1,,1.7,81.65,5,1
5,1,4,2,E,1.6,52.16,5,1
6,2,4,1,,,,,1
6,2,4,2,ABC,1.83,54.43,4,1
6,2,4,2,E,1.85,81.65,5,1
6,2,4,2,A   E,1.93,102.06,5,1
7,2,4,2,E,1.65,54.43,3,1
6,2,4,2,E,1.88,65.32,5,1
6,1,4,2,E,1.57,41.73,5,1
6,1,4,2,E,1.68,81.65,5,1
6,1,4,1,E,1.57,53.98,5,1
6,2,4,2,DE,1.68,52.16,5,1
6,1,4,2,E,1.63,61.24,5,1
5,1,3,2,B  E,1.52,48.08,5,1
5,2,3,1,,1.63,65.77,3,1
6,1,3,2,C,1.57,74.84,5,1
5,2,3,1,E,,,5,1
5,2,3,1,E,1.73,84.82,5,5
5,2,3,2,BC E,1.65,56.7,5,1
5,2,3,2,E,1.88,99.79,5,2
5,1,3,2,A C,1.65,56.7,5,1
6,1,3,1,,1.55,59.42,4,1
5,1,3,2,A   E,1.65,53.07,5,1
5,2,3,2,C E,1.9,77.11,5,1
5,2,3,2,E,1.78,74.84,4,1
5,2,3,2,E,1.78,79.38,5,1
7,,5,1,C,,,1,8
5,1,3,1,,1.57,52.16,4,1
5,2,3,1,A,1.7,99.79,4,1
5,2,3,2,E,,,5,1
6,2,4,1,,1.8,58.51,5,2
5,2,3,2,E,1.55,49.9,5,2
5,2,3,1,E,1.7,92.99,5,1
5,2,3,2,B,1.73,83.92,5,1
5,2,3,,,1.73,67.13,5,1
5,2,3,2,E,1.73,65.77,5,3
5,2,3,1,,1.85,158.76,5,1
5,2,3,2,E,1.83,92.99,4,1
6,1,3,1,E,1.63,72.58,5,1
6,1,4,1,,,,5,1
6,2,4,2,E,1.85,72.58,4,1
6,1,4,2,B,1.63,70.31,4,1
6,2,4,2,D,1.78,68.49,5,1
4,2,1,2,E,1.73,63.5,5,2
5,2,3,2,B,1.63,57.15,5,1
6,,4,2,E,,,5,1
7,2,4,2,E,1.88,104.33,,3
6,1,4,2,E,1.7,54.43,5,1
6,1,4,2,E,1.6,58.97,5,1
7,1,4,2,E,1.6,70.31,5,1
6,2,4,2,B,,,5,1
6,1,4,2,E,1.73,70.31,4,1
6,2,4,2,E,1.83,83.92,5,1
6,1,4,1,A,1.63,53.52,5,1
6,2,4,2,B  E,1.85,75.3,5,1
6,2,4,1,,1.8,66.23,5,1
6,1,4,2,E,1.7,65.77,5,1
6,1,4,2,E,1.65,54.43,5,2
6,1,4,1,,1.6,53.52,5,1
6,1,4,1,,1.52,57.61,5,1
6,2,4,1,,1.68,54.43,5,1
6,2,4,1,E,1.75,52.62,5,1
7,1,4,2,B DE,1.7,56.7,5,1
6,1,4,1,A   E,1.63,66.23,5,1
6,1,4,2,,1.65,61.24,5,2
6,1,4,2,C E,1.57,45.81,5,1
7,1,4,2,E,1.73,57.15,5,1
6,1,4,1,,1.63,52.16,5,1
7,2,4,1,E,1.78,90.72,4,1
7,2,4,1,,1.73,70.76,5,1
6,2,4,1,E,1.78,68.95,5,1
6,1,4,2,E,,,5,1
6,1,4,1,E,1.7,56.7,5,1
6,1,4,2,E,1.6,59.88,3,1
3,2,1,1,E,1.68,55.34,5,8
6,1,4,2,E,1.7,64.41,5,1
6,1,4,2,,1.7,66.68,5,1
5,2,3,2,E,1.83,87.54,5,1
5,1,3,2,E,1.65,63.5,5,1
5,1,3,2,E,1.65,49.44,4,1
4,2,2,1,E,,,5,1
5,2,3,2,C E,1.68,112.95,5,5
3,1,1,1,,,,3,1
4,2,1,2,E,,,5,1
3,2,1,2,B,1.68,61.24,5,2
3,1,1,2,E,1.52,43.55,5,1
3,1,1,2,E,1.63,44.91,3,1
3,2,1,2,E,1.78,69.85,5,1
3,1,1,1,E,1.52,56.7,4,1
3,1,1,2,E,1.65,56.7,5,1
3,1,1,2,E,,,4,1
4,2,1,2,E,1.83,65.77,4,1
4,2,1,2,E,1.75,63.5,4,1
5,2,3,2,E,1.73,63.5,5,1
3,2,1,2,B,1.73,59.88,4,1
3,1,1,2,E,1.55,47.63,4,1
3,1,1,1,E,1.52,61.24,3,1
,2,,2,,,,5,1
5,2,3,1,E,1.85,62.14,5,1
5,2,3,2,E,1.83,81.65,5,1
5,1,3,1,C,1.6,68.04,5,1
6,2,3,2,A   E,1.75,42.18,4,1
5,2,3,2,,1.78,90.72,4,1
5,2,3,2,B D,1.75,62.6,5,1
3,2,3,2,,1.73,82.1,5,3
5,1,3,2,E,,,5,1
6,2,3,2,E,1.88,62.14,4,7
5,1,3,1,,,,5,1
5,2,3,2,E,1.83,76.66,4,1
5,1,3,2,DE,1.55,54.43,5,1
5,2,3,2,E,1.75,57.15,5,1
5,2,3,2,E,1.8,74.84,5,1
5,2,3,2,E,1.8,67.13,5,1
4,1,3,2,B  E,1.68,49.44,5,1
5,2,2,2,E,1.88,106.14,4,1
6,2,4,1,,1.63,72.58,5,1
5,2,3,2,BC,1.78,81.65,4,2
5,2,3,1,,1.6,75.3,5,1
5,1,3,1,E,1.52,48.99,5,1
5,2,3,2,E,1.9,88.45,4,1
4,1,2,2,E,1.68,72.58,5,1
4,2,2,1,E,1.88,58.97,5,1
3,2,2,2,B  E,1.78,61.24,4,1
5,2,2,1,E,1.75,72.58,5,1
5,2,2,2,E,1.8,74.84,5,1
5,2,2,2,E,1.78,72.58,5,1
4,1,2,1,E,1.55,45.81,5,1
4,1,2,2,E,1.68,50.8,4,1
4,2,2,2,E,,,5,8
4,2,2,2,E,1.8,97.98,5,1
4,2,2,2,E,,,5,
4,2,2,2,E,1.83,79.83,5,1
4,2,2,2,E,1.93,77.11,5,1
4,2,2,2,E,1.8,95.26,5,1
3,2,2,1,,1.73,68.49,5,1
4,2,2,2,E,1.83,62.14,4,1
4,1,2,2,B,,,5,1
4,1,2,2,B,,,5,1
2,1,2,,B,1.68,81.65,5,1
4,,2,2,BC,,,3,8
5,1,2,1,,1.55,73.48,5,1
4,1,2,1,,1.6,67.59,5,1
4,1,2,1,E,1.6,47.17,5,1
4,2,2,2,E,1.8,68.04,4,1
4,1,2,1,E,1.65,77.57,5,1
4,1,2,2,E,1.63,52.16,4,2
4,2,2,2,B  E,1.8,121.56,5,1
5,1,3,1,,1.65,65.77,5,1
4,2,2,1,E,1.57,47.63,5,1
5,2,3,1,,1.78,74.84,5,1
6,2,4,1,,1.68,63.5,5,1
3,2,,1,E,1.78,100.7,1,
3,2,1,2,B D,,,5,1
3,2,1,1,C,,,5,1
3,2,1,1,,1.75,98.43,5,2
3,1,1,1,,1.52,54.43,5,1
2,1,1,2,B,,,5,1
3,1,1,1,,1.5,36.29,5,1
3,2,1,1,E,1.65,49.44,3,1
3,2,1,1,E,1.78,63.5,3,1
4,2,1,1,,1.73,78.47,2,8
3,2,1,1,,1.68,74.84,4,1
3,2,1,1,,,,4,3
3,1,1,1,E,1.52,72.58,5,2
3,1,1,1,,1.55,53.98,5,1
3,1,1,2,B,1.52,41.28,5,1
3,1,1,2,B,1.52,63.5,5,1
3,1,1,1,E,1.57,74.84,5,1
3,1,1,1,,1.6,63.5,5,1
3,2,1,2,B,1.73,54.43,4,1
3,2,1,1,,1.68,92.99,4,1
3,1,1,2,B,1.42,48.99,4,1
4,1,2,1,E,,,4,1
4,2,2,1,D,1.65,70.31,4,1
4,1,2,2,E,1.6,79.38,4,1
4,1,2,1,,1.6,47.63,4,1
4,,2,1,,,,4,1
4,2,2,1,,1.65,45.36,3,2
4,1,2,2,B,1.5,41.28,4,1
4,2,2,1,E,,,5,1
4,1,2,1,A,1.68,65.77,5,1
4,1,2,1,E,1.63,61.24,5,1
4,2,2,2,B D,,,4,1
4,1,2,2,B,,,4,1
4,2,2,2,D,1.8,72.58,5,1
4,2,2,1,B DE,1.7,49.9,4,1
4,1,2,1,,,,5,1
5,2,4,1,,1.6,57.15,4,1
4,1,2,1,E,1.6,51.71,5,1
4,1,2,1,,,,5,1
4,2,2,1,E,1.7,70.31,5,1
5,1,2,1,,1.57,56.7,4,2
5,1,3,1,,,,5,1
5,1,3,1,,1.63,58.06,5,1
5,1,3,1,,1.68,58.97,5,1
5,2,3,,,1.78,63.5,4,1
5,2,3,1,E,1.73,93.44,5,1
5,2,3,1,,1.75,68.04,5,1
4,2,2,1,E,1.7,63.5,5,1
4,2,2,2,B,1.73,79.38,4,1
4,1,2,1,E,1.63,50.8,5,1
4,2,2,1,E,1.65,48.99,5,1
3,1,2,1,E,1.55,65.77,5,1
4,2,2,1,,1.65,90.72,5,1
5,1,2,2,B,1.65,63.05,5,1
4,1,2,1,,1.57,49.9,5,1
5,2,3,1,,,,4,6
5,2,3,1,,1.7,74.84,5,1
4,2,3,2,C,,,3,8
5,1,3,1,E,,,,1
5,2,3,1,E,,,5,1
5,2,3,2,B,1.7,77.11,5,1
5,1,3,,E,1.52,52.62,3,1
4,2,3,1,,,,4,1
4,1,3,1,E,1.6,44.45,5,1
5,1,3,1,,,,4,1
5,1,4,1,,1.55,54.43,5,1
6,1,4,1,,1.65,73.03,4,1
6,2,4,1,E,1.73,72.58,5,1
6,1,4,1,E,1.63,51.26,1,1
4,1,2,1,,1.6,55.34,5,1
3,2,2,,,1.75,56.7,4,3
3,1,2,2,B  E,1.65,47.63,4,1
4,2,2,1,E,1.63,69.85,5,1
4,2,2,1,D,1.73,58.97,5,2
4,1,2,1,A,1.68,77.57,4,1
,,,,,,,4,1
4,2,2,1,E,1.68,54.43,3,3
4,2,2,1,E,1.73,57.61,4,1
6,2,4,1,,1.8,83.01,5,1
6,1,4,1,,1.7,65.77,5,1
6,2,4,1,C,1.63,63.5,4,2
6,1,4,1,E,1.68,73.94,5,4
5,2,4,1,A,1.83,63.5,4,1
6,2,4,1,,1.7,74.84,5,1
5,1,4,1,,1.73,64.86,5,1
6,1,4,2,B,1.57,47.63,5,1
7,2,4,1,A,1.73,81.65,4,1
6,2,4,1,E,1.75,78.47,5,1
6,2,4,1,,,,1,8
6,2,4,1,A,1.83,79.38,5,1
6,1,4,1,D,1.63,76.2,5,1
6,2,4,1,,1.75,78.47,5,4
6,1,4,1,,,,5,1
6,1,4,1,C,1.68,73.48,5,1
6,1,4,1,E,1.65,64.86,5,1
5,2,4,1,C E,1.85,72.58,3,3
6,2,4,2,B,1.7,74.84,5,1
6,1,4,1,E,1.68,55.79,5,1
6,1,4,1,A,1.45,77.57,5,1
5,2,4,1,E,1.57,65.77,5,1
6,2,4,1,,1.73,56.7,5,1
6,2,4,1,E,,,5,1
6,2,4,1,,,,5,2
4,2,2,1,E,,,5,1
6,1,4,1,,1.5,44.45,5,1
4,2,2,2,B,,,5,1
4,2,2,1,,1.68,64.86,5,1
4,2,2,1,,,,2,1
4,1,2,1,,1.68,75.75,5,1
4,1,2,1,E,1.63,84.37,5,1
4,2,2,1,E,1.8,97.98,4,1
4,1,2,1,A C,1.47,54.43,5,1
3,1,2,1,,1.63,81.65,5,1
4,2,2,1,,1.8,66.68,5,8
3,2,2,1,A   E,,,5,1
4,1,2,1,,,,5,1
4,1,2,1,E,,,,1
4,1,2,1,E,1.63,70.31,5,1
3,1,2,1,,,,3,1
4,2,2,2,D,1.63,61.24,5,2
3,2,2,1,,1.7,64.41,5,
5,2,2,1,E,1.75,77.11,5,1
4,2,2,1,C,1.78,99.79,5,7
4,2,2,2,D,1.63,59.88,5,1
4,1,2,1,D,,,5,1
6,1,4,1,E,1.63,111.13,5,1
7,2,4,2,B,1.75,61.69,5,1
5,2,4,1,A,,,5,1
6,2,4,1,E,1.83,74.84,5,1
7,1,4,1,A,1.55,70.76,4,1
6,1,4,1,,1.5,74.84,4,1
5,1,4,,D,1.6,57.15,4,1
6,1,4,1,E,1.55,49.9,5,1
6,1,4,1,,1.6,61.24,5,1
6,1,4,1,E,1.55,54.43,5,1
6,2,4,1,A,1.73,81.65,5,1
6,2,4,1,,1.7,113.4,4,1
6,1,4,1,E,1.52,44.45,,1
5,2,2,1,,,,4,1
7,2,4,2,B,1.7,68.04,5,1
6,1,4,1,E,1.57,49.9,4,1
6,2,4,1,E,1.68,49.9,4,4
6,1,4,1,E,1.57,60.78,5,1
6,1,4,2,B,1.55,49.44,5,1
6,2,4,1,E,1.73,77.11,4,4
6,2,4,2,B,1.7,68.04,5,1
6,1,4,1,A   E,1.6,52.16,5,1
6,1,4,1,,1.7,61.24,4,1
5,1,4,1,E,,,,2
6,2,4,1,D,1.73,95.71,5,1
3,,1,,C,,,5,1
3,1,1,1,,1.63,58.97,5,1
3,1,1,1,,1.55,48.99,2,1
2,1,1,1,,1.55,58.97,5,1
3,1,1,2,B,,,3,1
3,2,1,1,,,,5,2
4,2,1,1,,1.75,96.16,3,4
3,2,1,2,B,1.7,48.99,4,1
3,2,1,1,B,,,4,1
